symbol,date,open,high,low,close,candle_name,strength_percentage
ACLBSL,2024-12-29,1007.0,1064.8,1007.0,1022.0,,
ADBL,2024-12-29,334.2,337.0,332.0,333.9,,
ADBLD83,2024-12-23,1150.0,1150.0,1126.0,1126.0,,
AHL,2024-12-29,730.0,730.0,706.0,719.0,,
AHPC,2024-12-29,256.5,256.5,246.2,249.0,,
AKJCL,2024-12-29,203.0,203.0,196.5,197.0,,
AKPL,2024-12-29,234.0,235.0,229.2,231.0,,
ALBSL,2024-12-29,800.0,849.9,790.0,816.5,,
ALICL,2024-12-29,720.0,720.0,705.7,709.0,,
ALICLP,2024-10-06,312.0,312.0,312.0,312.0,,
ANLB,2024-12-29,5937.4,6530.0,5820.0,6530.0,CLOSINGMARUBOZU,75.0
API,2024-12-29,265.0,265.0,260.0,260.0,DOJI,58.0
AVYAN,2024-12-29,1035.0,1110.0,1020.0,1050.0,,
BANKING,2024-12-29,1435.7,1440.13,1412.93,1415.43,SHORTLINE,56.0
BARUN,2024-12-29,400.0,405.0,390.3,390.3,SHORTLINE,56.0
BBC,2024-12-29,6150.0,6249.9,6000.0,6088.0,SPINNINGTOP,57.0
BEDC,2024-12-29,692.9,730.0,690.0,699.0,INVERTEDHAMMER,68.0
BFC,2024-12-29,688.0,688.0,632.2,638.9,SHORTLINE,56.0
BHDC,2024-12-29,676.2,676.2,637.0,640.0,MATCHINGLOW,62.0
BHL,2024-12-29,371.8,371.8,346.0,349.9,HIKKAKE,67.0
BHPL,2024-12-29,849.0,865.9,819.0,828.0,HIKKAKE,67.0
BNHC,2024-12-29,476.0,485.0,472.0,475.0,INVERTEDHAMMER,68.0
BNL,2024-12-29,16500.0,16500.0,16341.6,16341.6,CLOSINGMARUBOZU,75.0
BNT,2024-12-29,14051.0,14490.0,14021.0,14050.0,DOJISTAR,80.0
BOKD86,2024-12-23,1061.0,1080.0,1061.0,1068.0,INVERTEDHAMMER,68.0
BPCL,2024-12-29,390.0,397.8,375.5,389.0,TAKURI,68.0
BPW,2024-03-06,1200.0,1200.0,1140.1,1141.5,CLOSINGMARUBOZU,75.0
C30MF,2024-12-29,9.29,9.5,9.11,9.11,DOJISTAR,80.0
CBBL,2024-12-29,940.0,940.0,930.1,930.1,SHORTLINE,56.0
CBBLPO,2024-12-08,526.0,526.0,526.0,526.0,DOJI,58.0
CBLD88,2024-12-26,1161.0,1161.0,1161.0,1161.0,DOJI,58.0
CCBD88,2024-12-29,1147.0,1169.9,1147.0,1169.9,SHORTLINE,56.0
CFCL,2024-12-29,595.0,604.0,580.0,582.0,SHORTLINE,56.0
CGH,2024-12-29,906.0,913.5,900.0,900.0,SHOOTINGSTAR,65.0
CHCL,2024-12-29,570.0,575.0,566.0,570.0,RICKSHAWMAN,62.0
CHDC,2024-12-29,1551.0,1640.0,1551.0,1570.1,BELTHOLD,66.0
CHL,2024-12-29,400.0,404.0,390.0,390.5,SHORTLINE,56.0
CIT,2024-12-29,2088.0,2093.9,2078.1,2085.0,SPINNINGTOP,57.0
CITY,2024-12-29,879.0,892.0,865.0,865.0,CLOSINGMARUBOZU,75.0
CIZBD86,2024-12-29,1131.1,1131.1,1131.0,1131.0,DOJI,58.0
CIZBD90,2024-12-29,1150.0,1173.0,1150.0,1150.0,SHOOTINGSTAR,65.0
CKHL,2024-12-29,749.8,754.0,715.0,717.0,CLOSINGMARUBOZU,75.0
CMF1,2024-12-29,10.4,10.59,10.4,10.5,DOJISTAR,80.0
CMF2,2024-12-29,9.35,9.58,9.35,9.58,DOJI,58.0
CORBL,2024-12-29,1371.6,1433.1,1305.0,1312.0,,
CYCL,2024-12-29,1584.7,1710.5,1577.0,1650.0,,
CZBIL,2024-12-29,228.0,228.2,220.5,221.9,SHORTLINE,56.0
CZBILP,2024-09-29,102.0,102.0,102.0,102.0,DOJI,58.0
DDBL,2024-12-29,880.0,888.4,873.2,873.2,SHOOTINGSTAR,65.0
DEVBANK,2024-12-29,5356.92,5359.43,5215.96,5223.76,LONGLINE,70.0
DHPL,2024-12-29,303.0,310.0,300.0,300.3,DOJISTAR,80.0
DLBS,2024-12-29,1670.0,1836.0,1670.0,1760.0,BELTHOLD,66.0
DOLTI,2024-12-29,669.0,690.0,669.0,685.0,SHORTLINE,56.0
DORDI,2024-12-29,530.1,540.0,514.0,514.0,SHORTLINE,56.0
EBL,2024-12-29,585.0,589.9,580.0,583.0,HANGINGMAN,70.0
EBLD86,2024-12-29,1043.0,1043.0,1043.0,1043.0,DOJI,58.0
EDBL,2024-12-29,617.1,617.1,561.0,563.0,CLOSINGMARUBOZU,75.0
EHPL,2024-12-29,758.0,768.0,728.3,754.9,LONGLEGGEDDOJI,62.0
ENL,2024-12-29,1241.7,1275.0,1235.0,1257.0,,
FINANCE,2024-12-29,3052.63,3052.63,2932.35,2935.78,CLOSINGMARUBOZU,75.0
FLOAT,2024-12-29,178.32,178.84,176.3,176.7,DOJISTAR,80.0
FMDBL,2024-12-29,748.2,765.0,748.0,760.0,SHORTLINE,56.0
FMDBLP,2024-07-08,370.0,370.0,370.0,370.0,DOJI,58.0
FOWAD,2024-12-29,1253.5,1300.0,1250.0,1274.0,,
GBBD85,2024-12-29,1051.1,1051.2,1050.0,1050.0,DOJI,58.0
GBBL,2024-12-29,402.0,404.9,395.1,396.5,SHORTLINE,56.0
