id,date,symbol,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,EMA_20
1875746,2024-01-01,NABIL,513.0,513.0,505.0,505.9,56006.0,505.9,506.0,,,,
1875747,2024-01-02,NABIL,506.0,510.0,498.0,499.9,97243.0,499.9,505.9,,,,
1875748,2024-01-03,NABIL,500.0,501.5,488.6,496.0,150208.0,496.0,499.9,,,,
1875749,2024-01-04,NABIL,498.0,500.9,495.0,495.5,93743.0,495.5,496.0,,,,
1875750,2024-01-07,NABIL,500.0,500.0,489.5,490.0,97677.0,490.0,495.5,,,,
1875751,2024-01-08,NABIL,495.0,495.0,488.0,488.1,109400.0,488.1,490.0,,,,
1875752,2024-01-09,NABIL,488.1,495.0,488.1,490.0,123332.0,490.0,488.1,9.64467005076134,,,
1875753,2024-01-10,NABIL,495.0,500.0,490.0,492.0,91478.0,492.0,490.0,19.45701357466059,,,
1875754,2024-01-11,NABIL,499.0,499.9,490.0,493.0,52810.0,493.0,492.0,24.38402718776548,,,
1875755,2024-01-14,NABIL,500.0,501.0,493.5,494.5,66912.0,494.5,493.0,31.884279810194393,,,
1875756,2024-01-16,NABIL,500.0,502.0,498.0,501.0,126928.0,501.0,494.5,55.06230686890316,,,
1875757,2024-01-17,NABIL,503.5,512.0,503.0,504.0,111028.0,504.0,501.0,62.188287035935616,,,
1875758,2024-01-18,NABIL,507.0,507.0,498.0,498.0,78196.0,498.0,504.0,45.04506944194839,,,
1875759,2024-01-21,NABIL,504.0,504.0,492.0,493.0,85324.0,493.0,498.0,35.31101195013681,,,
1875760,2024-01-22,NABIL,495.0,495.0,486.5,489.0,106960.0,489.0,493.0,29.244233654258522,32.648870636550306,,
1875761,2024-01-23,NABIL,489.0,496.0,484.0,484.5,102618.0,484.5,489.0,23.738296200418084,29.694009481396343,,
1875762,2024-01-24,NABIL,492.0,493.0,484.0,484.9,75048.0,484.9,484.5,25.23967721530271,30.29788446158393,,
1875763,2024-01-25,NABIL,492.5,492.5,483.2,488.0,78635.0,488.0,484.9,36.80932998059034,34.96038657979893,,
1875764,2024-01-28,NABIL,497.0,497.0,487.7,491.0,62690.0,491.0,488.0,46.43575348472697,39.199038685826984,,
1875765,2024-01-29,NABIL,492.0,495.0,485.0,488.0,112649.0,488.0,491.0,39.25893777085022,36.628336869070935,493.31499999999994,493.31499999999994
1875766,2024-01-30,NABIL,485.0,494.0,485.0,487.0,58884.0,487.0,488.0,36.973200376360396,35.78587290779088,492.37,492.71357142857136
1875767,2024-01-31,NABIL,489.0,490.0,484.6,484.6,101519.0,484.6,487.0,31.663822678977006,33.77787881693456,491.605,491.94085034013597
1875768,2024-02-01,NABIL,494.2,494.2,480.0,480.6,88972.0,480.6,484.6,24.598965132288175,30.687279934310997,490.83500000000004,490.8607693553611
1875769,2024-02-04,NABIL,480.6,483.9,477.0,477.0,79654.0,477.0,480.6,19.822361432944824,28.187541004412697,489.91,489.54069608342195
1875770,2024-02-05,NABIL,481.0,481.0,474.9,475.0,65154.0,475.0,477.0,17.550413066364566,26.877636852118194,489.16,488.1558678850008
