symbol,date,open,high,low,close,Candles_Present,Signal,Bullish_Count,Bearish_Count,Signal_Strength
ANLB,2024-12-29,5937.4,6530.0,5820.0,6530.0,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
API,2024-12-29,265.0,265.0,260.0,260.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
BANKING,2024-12-29,1435.7,1440.13,1412.93,1415.43,['CDLSHORTLINE'],Bearish,0,1,-1
BARUN,2024-12-29,400.0,405.0,390.3,390.3,['CDLSHORTLINE'],Bearish,0,1,-1
BEDC,2024-12-29,692.9,730.0,690.0,699.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI']",Bullish,1,0,1
BFC,2024-12-29,688.0,688.0,632.2,638.9,['CDLSHORTLINE'],Bearish,0,1,-1
BHDC,2024-12-29,676.2,676.2,637.0,640.0,"['CDLMATCHINGLOW', 'CDLSHORTLINE']",Bearish,0,1,-1
BHL,2024-12-29,371.8,371.8,346.0,349.9,"['CDLHIKKAKE', 'CDLSHORTLINE']",Bearish,0,2,-2
BHPL,2024-12-29,849.0,865.9,819.0,828.0,"['CDLHIKKAKE', 'CDLSHORTLINE']",Bearish,0,2,-2
BNHC,2024-12-29,476.0,485.0,472.0,475.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish,1,1,0
BNL,2024-12-29,16500.0,16500.0,16341.6,16341.6,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
BOKD86,2024-12-23,1061.0,1080.0,1061.0,1068.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
BPCL,2024-12-29,390.0,397.8,375.5,389.0,"['CDLDOJI', 'CDLDRAGONFLYDOJI', 'CDLHAMMER', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP', 'CDLTAKURI']",Bullish,1,1,0
BPW,2024-03-06,1200.0,1200.0,1140.1,1141.5,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
C30MF,2024-12-29,9.29,9.5,9.11,9.11,"['CDLDOJI', 'CDLDOJISTAR', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
CBBL,2024-12-29,940.0,940.0,930.1,930.1,['CDLSHORTLINE'],Bearish,0,1,-1
CBBLPO,2024-12-08,526.0,526.0,526.0,526.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
CBLD88,2024-12-26,1161.0,1161.0,1161.0,1161.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
CCBD88,2024-12-29,1147.0,1169.9,1147.0,1169.9,['CDLSHORTLINE'],Bearish,0,1,-1
CFCL,2024-12-29,595.0,604.0,580.0,582.0,['CDLSHORTLINE'],Bearish,0,1,-1
CGH,2024-12-29,906.0,913.5,900.0,900.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLLONGLEGGEDDOJI', 'CDLSHOOTINGSTAR', 'CDLSHORTLINE']",Bearish,0,2,-2
