symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
ANLB,2024-12-29,5937.4,6530.0,5820.0,6530.0,CLOSINGMARUBOZU,1.0
BEDC,2024-12-29,692.9,730.0,690.0,699.0,"DOJI,GRAVESTONEDOJI,INVERTEDHAMMER,LONGLEGGEDDOJI",0.25
BHPL,2024-12-29,849.0,865.9,819.0,828.0,"HIKKAKE,SHORTLINE",1.0
BNHC,2024-12-29,476.0,485.0,472.0,475.0,"DOJI,GRAVESTONEDOJI,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",0.5
BNT,2024-12-29,14051.0,14490.0,14021.0,14050.0,"DOJI,DOJISTAR,HIGHWAVE,LONGLEGGEDDOJI,SPINNINGTOP",1.0
BOKD86,2024-12-23,1061.0,1080.0,1061.0,1068.0,"DOJI,GRAVESTONEDOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.2
BPCL,2024-12-29,390.0,397.8,375.5,389.0,"DOJI,DRAGONFLYDOJI,HAMMER,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP,TAKURI",0.33
C30MF,2024-12-29,9.29,9.5,9.11,9.11,"DOJI,DOJISTAR,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.33
CBBLPO,2024-12-08,526.0,526.0,526.0,526.0,"DOJI,SHORTLINE",0.5
CBLD88,2024-12-26,1161.0,1161.0,1161.0,1161.0,"DOJI,SHORTLINE",0.5
CCBD88,2024-12-29,1147.0,1169.9,1147.0,1169.9,SHORTLINE,1.0
CGH,2024-12-29,906.0,913.5,900.0,900.0,"DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHOOTINGSTAR,SHORTLINE",1.0
CHCL,2024-12-29,570.0,575.0,566.0,570.0,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.2
CHDC,2024-12-29,1551.0,1640.0,1551.0,1570.1,BELTHOLD,1.0
CIZBD90,2024-12-29,1150.0,1173.0,1150.0,1150.0,"DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHOOTINGSTAR",0.5
CMF1,2024-12-29,10.4,10.59,10.4,10.5,"DOJI,DOJISTAR,SHORTLINE",0.33
