symbol,date,open,high,low,close,Candles_Present,Signal
ACLBSL,2024-12-29,1007.0,1064.8,1007.0,1022.0,[],Neutral
ADBL,2024-12-29,334.2,337.0,332.0,333.9,[],Neutral
ADBLD83,2024-12-23,1150.0,1150.0,1126.0,1126.0,[],Neutral
AHL,2024-12-29,730.0,730.0,706.0,719.0,[],Neutral
AHPC,2024-12-29,256.5,256.5,246.2,249.0,[],Neutral
AKJCL,2024-12-29,203.0,203.0,196.5,197.0,[],Neutral
AKPL,2024-12-29,234.0,235.0,229.2,231.0,[],Neutral
ALBSL,2024-12-29,800.0,849.9,790.0,816.5,[],Neutral
ALICL,2024-12-29,720.0,720.0,705.7,709.0,[],Neutral
ALICLP,2024-10-06,312.0,312.0,312.0,312.0,[],Neutral
ANLB,2024-12-29,5937.4,6530.0,5820.0,6530.0,['CDLCLOSINGMARUBOZU'],Neutral
API,2024-12-29,265.0,265.0,260.0,260.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
AVYAN,2024-12-29,1035.0,1110.0,1020.0,1050.0,[],Neutral
BANKING,2024-12-29,1435.7,1440.13,1412.93,1415.43,['CDLSHORTLINE'],Neutral
BARUN,2024-12-29,400.0,405.0,390.3,390.3,['CDLSHORTLINE'],Neutral
BBC,2024-12-29,6150.0,6249.9,6000.0,6088.0,['CDLSPINNINGTOP'],Neutral
BEDC,2024-12-29,692.9,730.0,690.0,699.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI']",Bullish
BFC,2024-12-29,688.0,688.0,632.2,638.9,['CDLSHORTLINE'],Neutral
BHDC,2024-12-29,676.2,676.2,637.0,640.0,"['CDLMATCHINGLOW', 'CDLSHORTLINE']",Neutral
BHL,2024-12-29,371.8,371.8,346.0,349.9,"['CDLHIKKAKE', 'CDLSHORTLINE']",Neutral
BHPL,2024-12-29,849.0,865.9,819.0,828.0,"['CDLHIKKAKE', 'CDLSHORTLINE']",Neutral
BNHC,2024-12-29,476.0,485.0,472.0,475.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish
BNL,2024-12-29,16500.0,16500.0,16341.6,16341.6,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
BNT,2024-12-29,14051.0,14490.0,14021.0,14050.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLSPINNINGTOP']",Neutral
BOKD86,2024-12-23,1061.0,1080.0,1061.0,1068.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
BPCL,2024-12-29,390.0,397.8,375.5,389.0,"['CDLDOJI', 'CDLDRAGONFLYDOJI', 'CDLHAMMER', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP', 'CDLTAKURI']",Bullish
BPW,2024-03-06,1200.0,1200.0,1140.1,1141.5,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
C30MF,2024-12-29,9.29,9.5,9.11,9.11,"['CDLDOJI', 'CDLDOJISTAR', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
CBBL,2024-12-29,940.0,940.0,930.1,930.1,['CDLSHORTLINE'],Neutral
CBBLPO,2024-12-08,526.0,526.0,526.0,526.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
CBLD88,2024-12-26,1161.0,1161.0,1161.0,1161.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
CCBD88,2024-12-29,1147.0,1169.9,1147.0,1169.9,['CDLSHORTLINE'],Neutral
CFCL,2024-12-29,595.0,604.0,580.0,582.0,['CDLSHORTLINE'],Neutral
CGH,2024-12-29,906.0,913.5,900.0,900.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLLONGLEGGEDDOJI', 'CDLSHOOTINGSTAR', 'CDLSHORTLINE']",Bearish
CHCL,2024-12-29,570.0,575.0,566.0,570.0,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSPINNINGTOP']",Neutral
CHDC,2024-12-29,1551.0,1640.0,1551.0,1570.1,['CDLBELTHOLD'],Neutral
CHL,2024-12-29,400.0,404.0,390.0,390.5,['CDLSHORTLINE'],Neutral
CIT,2024-12-29,2088.0,2093.9,2078.1,2085.0,['CDLSPINNINGTOP'],Neutral
CITY,2024-12-29,879.0,892.0,865.0,865.0,['CDLCLOSINGMARUBOZU'],Neutral
CIZBD86,2024-12-29,1131.1,1131.1,1131.0,1131.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
CIZBD90,2024-12-29,1150.0,1173.0,1150.0,1150.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLLONGLEGGEDDOJI', 'CDLSHOOTINGSTAR']",Bearish
CKHL,2024-12-29,749.8,754.0,715.0,717.0,"['CDLCLOSINGMARUBOZU', 'CDLLONGLINE']",Neutral
CMF1,2024-12-29,10.4,10.59,10.4,10.5,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
CMF2,2024-12-29,9.35,9.58,9.35,9.58,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
CORBL,2024-12-29,1371.6,1433.1,1305.0,1312.0,[],Neutral
CYCL,2024-12-29,1584.7,1710.5,1577.0,1650.0,[],Neutral
CZBIL,2024-12-29,228.0,228.2,220.5,221.9,['CDLSHORTLINE'],Neutral
CZBILP,2024-09-29,102.0,102.0,102.0,102.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
DDBL,2024-12-29,880.0,888.4,873.2,873.2,"['CDLSHOOTINGSTAR', 'CDLSHORTLINE']",Bearish
DEVBANK,2024-12-29,5356.92,5359.43,5215.96,5223.76,"['CDLBELTHOLD', 'CDLLONGLINE']",Neutral
DHPL,2024-12-29,303.0,310.0,300.0,300.3,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
DLBS,2024-12-29,1670.0,1836.0,1670.0,1760.0,['CDLBELTHOLD'],Neutral
DOLTI,2024-12-29,669.0,690.0,669.0,685.0,['CDLSHORTLINE'],Neutral
DORDI,2024-12-29,530.1,540.0,514.0,514.0,['CDLSHORTLINE'],Neutral
EBL,2024-12-29,585.0,589.9,580.0,583.0,"['CDLDOJI', 'CDLHANGINGMAN', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHOOTINGSTAR', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bearish
EBLD86,2024-12-29,1043.0,1043.0,1043.0,1043.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
EDBL,2024-12-29,617.1,617.1,561.0,563.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
EHPL,2024-12-29,758.0,768.0,728.3,754.9,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLSPINNINGTOP']",Neutral
ENL,2024-12-29,1241.7,1275.0,1235.0,1257.0,[],Neutral
FINANCE,2024-12-29,3052.63,3052.63,2932.35,2935.78,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
FLOAT,2024-12-29,178.32,178.84,176.3,176.7,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
FMDBL,2024-12-29,748.2,765.0,748.0,760.0,['CDLSHORTLINE'],Neutral
FMDBLP,2024-07-08,370.0,370.0,370.0,370.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
FOWAD,2024-12-29,1253.5,1300.0,1250.0,1274.0,[],Neutral
GBBD85,2024-12-29,1051.1,1051.2,1050.0,1050.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBBL,2024-12-29,402.0,404.9,395.1,396.5,['CDLSHORTLINE'],Neutral
GBBLPO,2024-11-26,205.0,205.0,205.0,205.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBD80/81,2024-04-09,1040.0,1040.0,1040.0,1040.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBILD86/87,2024-12-29,1059.0,1059.0,1045.0,1045.0,['CDLSHORTLINE'],Neutral
GBIME,2024-12-29,233.1,237.5,229.0,229.5,['CDLINVERTEDHAMMER'],Bullish
GBIMEP,2024-12-12,100.0,100.0,100.0,100.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBLBS,2024-12-29,760.0,795.0,760.0,766.1,['CDLBELTHOLD'],Neutral
GCIL,2024-12-29,501.0,505.0,492.0,492.1,['CDLCLOSINGMARUBOZU'],Neutral
GFCL,2024-12-29,800.9,825.0,775.1,777.1,[],Neutral
GHL,2024-12-29,203.2,207.2,203.2,204.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
GIBF1,2024-12-29,9.88,9.91,9.88,9.91,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GILB,2024-12-29,1169.0,1210.0,1165.0,1178.0,[],Neutral
GLBSL,2024-12-29,2549.0,2670.0,2455.0,2460.1,[],Neutral
GLH,2024-12-29,240.1,243.3,235.2,235.2,['CDLSHORTLINE'],Neutral
GMFBS,2024-12-29,1790.0,1900.0,1786.1,1824.0,[],Neutral
GMFIL,2024-12-29,565.1,567.0,541.3,546.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
GRDBL,2024-12-29,945.0,980.0,875.0,880.0,['CDLCLOSINGMARUBOZU'],Neutral
GRDBLP,2024-07-08,277.0,277.0,277.0,277.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
GUFL,2024-12-29,670.4,670.4,653.8,657.0,['CDLSHORTLINE'],Neutral
GUFLPO,2024-12-19,385.0,385.0,385.0,385.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
