symbol,id,date,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,SMA_50,EMA_20,EMA_50,ATR_14,OBV,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,RSI_Signal,Trend_Signal,Final_Signal
ACLBSL,1624283,2024-12-29,1007.0,1064.8,1007.0,1022.0,3436.0,1022.0,1026.0,45.35711422246066,39.71280116047706,1056.3450000000005,1070.0680000000002,1043.9063208618236,1066.6951482331997,32.66170664416616,236055.0,-22.845831215833183,-19.43916790283634,-3.406663312996848,1155.9472585085232,1056.3450000000005,956.7427414914772,HOLD,SELL,SELL
ADBL,1627403,2024-12-29,334.2,337.0,332.0,333.9,105485.0,333.9,333.8,60.99134088610313,42.84403472885401,336.6550000000001,356.384,335.9694763826018,347.2601176383378,8.546525163647953,2029372.0,-8.072269978093573,-9.102429879940448,1.0301599018468757,361.4867921221914,336.6550000000001,311.8232078778088,HOLD,SELL,SELL
ADBLD83,1627961,2024-12-23,1150.0,1150.0,1126.0,1126.0,175.0,1126.0,1130.0,44.020655010798905,52.59804735435787,1124.11,1103.5659999999998,1124.5669585718713,1108.007980893015,10.493700204019584,6000.0,9.04781893963218,10.73999462038042,-1.6921756807482409,1165.174334890488,1124.11,1083.045665109512,HOLD,BUY,BUY
AHL,1628596,2024-12-29,730.0,730.0,706.0,719.0,3352.0,719.0,730.0,47.3023474470747,50.58793189331296,726.585,703.7660000000001,720.0012727082348,705.331324388708,28.05567496180713,561695.0,4.209193474951462,5.5790485200384925,-1.3698550450870304,759.3613497052397,726.585,693.8086502947604,HOLD,SELL,SELL
AHPC,1631680,2024-12-29,256.5,256.5,246.2,249.0,65122.0,249.0,253.7,36.73888847844589,37.02706664825572,262.7550000000001,273.24799999999993,260.2256308584781,266.9166793384193,10.126966528034853,6320941.0,-7.929193717314007,-6.90780607598535,-1.021387641328657,287.7253404061707,262.7550000000001,237.78465959382956,HOLD,SELL,SELL
AKJCL,1633934,2024-12-29,203.0,203.0,196.5,197.0,124123.0,197.0,200.1,28.4923146407162,38.10652361599692,207.75499999999997,211.03199999999995,205.64411689212324,209.3799395977093,6.980664050281012,1843544.0,-3.619638516311852,-2.4680293021195783,-1.1516092141922738,221.30497785976613,207.75499999999997,194.20502214023367,BUY,SELL,BUY
AKPL,1635848,2024-12-29,234.0,235.0,229.2,231.0,89716.0,231.0,236.0,19.584829779606256,31.901155862474127,245.46000000000004,253.63199999999983,243.69121250390324,247.91838938412724,8.337205561065309,2982241.0,-6.11058338935041,-4.792333868017788,-1.3182495213326222,262.6357270588435,245.46000000000004,228.28427294115656,BUY,SELL,BUY
ALBSL,1637322,2024-12-29,800.0,849.9,790.0,816.5,6668.0,816.5,811.0,42.97401810489559,31.36184741877041,839.0150000000006,932.3119999999998,841.2472703381735,904.1020934816048,25.04791540891488,428068.0,-33.62914869442716,-36.88100754073737,3.2518588463102134,895.4796181249479,839.0150000000006,782.5503818750532,HOLD,BUY,BUY
ALICL,1640374,2024-12-29,720.0,720.0,705.7,709.0,16351.0,709.0,708.0,28.908980025447978,37.76302667955375,728.895,733.7080000000002,723.3912347407971,727.1420365550366,16.08705259913761,193949.0,-8.734328366419845,-5.952149289809577,-2.7821790766102685,762.8017825073542,728.895,694.9882174926457,BUY,SELL,BUY
ALICLP,1640601,2024-10-06,312.0,312.0,312.0,312.0,530000.0,312.0,312.0,,,,,,,,125426.0,,,,,,,HOLD,HOLD,HOLD
ANLB,1641212,2024-12-29,5937.4,6530.0,5820.0,6530.0,9808.0,6530.0,5937.4,88.71059102395266,77.75070882760907,5152.594999999999,4901.549999999999,5236.2461206277,4939.179751031802,316.7203774061427,162996.0,221.33520514366865,93.2095875853947,128.12561755827394,5933.870906386484,5152.594999999999,4371.319093613514,SELL,BUY,BUY
API,1643453,2024-12-29,265.0,265.0,260.0,260.0,113072.0,260.0,265.0,41.36020640730364,37.12466526761428,271.19500000000005,286.034,269.8069976724136,280.1385365671354,8.370360103201945,-662093.0,-8.607263071079956,-8.379409090901405,-0.2278539801785513,294.3494790483359,271.19500000000005,248.04052095166415,HOLD,SELL,SELL
AVYAN,1644121,2024-12-29,1035.0,1110.0,1020.0,1050.0,19459.0,1050.0,1044.4,47.81800859581337,49.41373091678799,1078.65,1014.02,1057.8822122225329,1031.0793868684727,51.84631844902126,661048.0,1.421929520463891,11.81788911042178,-10.395959589957888,1160.9287821980824,1078.65,996.3712178019176,HOLD,SELL,SELL
BANKING,1647427,2024-12-29,1435.7,1440.13,1412.93,1415.43,721335069.9,1415.43,1427.91,51.50325780258459,43.577040082054594,1425.734,1489.2678000000026,1428.178714944956,1457.7033844131452,29.072524675073968,2629198465.860001,-23.0947598936757,-25.78081288916982,2.6860529954941192,1485.455547334286,1425.734,1366.012452665714,HOLD,BUY,BUY
BARUN,1649598,2024-12-29,400.0,405.0,390.3,390.3,51003.0,390.3,405.5,22.94620385075704,38.08327738636031,424.6199999999999,406.314,415.0275043227055,404.6297763977949,16.06517820063315,4632546.0,-3.125121190831237,2.272313468850351,-5.397434659681588,460.4657584659684,424.6199999999999,388.7742415340314,BUY,SELL,BUY
BBC,1651184,2024-12-29,6150.0,6249.9,6000.0,6088.0,1394.0,6088.0,6150.0,47.77592685726187,57.73534883821737,6268.639999999999,5091.214,5957.554119238233,5387.244409319666,299.35518167248847,37428.0,283.4990873140159,382.6363033415679,-99.13721602755196,6905.047927040514,6268.639999999999,5632.232072959485,HOLD,SELL,SELL
