buy_signal,sell_signal,score,rank
0,0,0,158.0
0,0,0,157.5
0,0,0,157.5
0,0,0,157.0
0,0,0,157.0
0,0,0,159.0
0,0,0,159.5
0,0,0,156.5
0,0,0,158.0
0,0,0,160.5
0,0,0,158.0
0,0,0,156.5
0,0,0,154.5
0,0,0,159.5
0,0,0,158.0
0,0,0,160.0
0,0,0,160.5
0,0,0,158.0
0,0,0,159.0
0,0,0,160.0
0,0,0,158.0
0,0,0,162.0
0,0,0,159.0
0,0,0,158.0
0,0,0,160.5
0,0,0,162.0
0,0,0,161.0
0,0,0,162.5
0,0,0,158.0
0,0,0,161.5
0,0,0,158.5
0,0,0,156.5
0,0,0,159.0
0,1,-1,303.0
0,1,-1,299.0
0,1,-1,301.0
0,1,-1,303.0
0,0,0,154.0
0,0,0,144.5
0,0,0,146.5
0,1,-1,296.5
0,0,0,164.0
0,0,0,161.5
0,1,-1,304.0
0,1,-1,291.5
0,1,-1,283.0
0,0,0,158.0
0,0,0,135.5
0,0,0,152.0
0,0,0,171.0
0,0,0,185.5
0,0,0,174.0
0,0,0,181.5
0,0,0,182.5
0,0,0,194.5
0,0,0,189.0
0,0,0,172.5
0,0,0,164.5
0,0,0,158.0
0,0,0,158.0
0,1,-1,302.0
0,0,0,145.5
0,0,0,156.0
0,0,0,152.5
0,0,0,142.5
0,0,0,153.0
0,0,0,170.5
0,0,0,180.0
0,0,0,180.0
0,1,-1,306.0
0,1,-1,299.0
0,1,-1,289.5
0,1,-1,302.5
0,1,-1,291.5
0,1,-1,289.5
0,1,-1,286.0
0,1,-1,292.5
0,1,-1,290.0
0,0,0,180.0
0,0,0,194.0
0,0,0,188.0
0,0,0,178.0
0,0,0,170.0
0,0,0,173.5
0,0,0,167.5
0,0,0,171.5
0,0,0,158.5
0,0,0,182.0
0,0,0,189.5
0,0,0,166.5
0,0,0,154.0
0,0,0,153.0
0,0,0,158.5
0,0,0,163.5
0,1,-1,296.5
0,1,-1,293.0
0,1,-1,293.0
0,1,-1,290.5
0,1,-1,282.5
0,1,-1,280.0
0,1,-1,277.5
0,0,0,137.0
0,0,0,131.0
0,0,0,129.5
0,0,0,104.5
0,0,0,114.5
0,0,0,124.0
0,0,0,135.5
0,1,-1,283.0
0,1,-1,269.5
0,1,-1,269.0
0,1,-1,282.5
0,1,-1,275.0
0,1,-1,261.0
0,0,0,116.5
0,0,0,127.0
0,0,0,132.0
